id,last_modified,code,poi_type,name,contact_email,contact_phone,related_url,capacity,description,address_complete,lat,lon
1,10/10/2022,923400201,bivacco,Bivacco Bafile - 2669 m,segreteria@cailaquila.it,+39 086224342,www.cailaquila.it,9,Posto sulla cresta SE della Vetta centrale del Corno Grande,Cresta SE Vetta centrale Corno Grande,42.46861,13.57186
2,10/10/2022,923400101,bivacco,Bivacco Fusco - 2457 m,info@caichieti.it,+39 0871331198,www.caichieti.it,6,"Sorge nell'anfiteatro delle Murelle,  sulle pendici del Monte Focalone",Vallone Murelle,42.115186,14.121352
3,10/10/2022,923200102,alpine-hut,Rifugio Duca Degli Abruzzi - 2388 m,info@rifugioducadegliabruzzi.it,+39 08621956147,www.rifugioducadegliabruzzi.it,24,"Situato sulla Cresta del Monte Portella, a ridosso del Corno Grande e delle principali vette del massiccio. ",Cresta di Monte Portella,42.448121,13.552037
4,10/10/2022,923200101,alpine-hut,Rifugio Franchetti - 2433 m,lucamazzoleni@rifugiofranchetti.it,+39 0861959634,www.rifugiofranchetti.it,23,"Sorge in splendida posizione, al centro del Vallone delle Cornacchie, ai piedi del Corno Grande e del Corno Piccolo",Vallone delle Cornacchie ,42.477101,13.565406
5,10/10/2022,923400202,wilderness-hut,Rifugio Garibaldi - 2230 m,segreteria@cailaquila.it,+39 086224342,www.cailaquila.it,18,"Sorge in posizione appartata nella conca di Campo Percoli, sovrastato dal Corno Grande  ",Campo Pericoli,42.46074,13.55037
6,10/10/2022,923200103,alpine-hut,Rifugio Sebastiani - 2102 m,info@rifugiovincenzosebastiani.it,+39 3391079741,www.rifugiovincenzosebastiani.it,13,Il rifugio Vincenzo Sebastiani si trova nel Comune di Rocca di Mezzo lungo la cresta che divide il versante di Campo Felice dai Piani di Pezza.,Colletto di Pezza ,42.179067,13.392376
7,10/10/2022,923401301,wilderness-hut,Rifugio Telespazio - 1980 m,avezzano@cai.it,,www.caiavezzano.it ,20,"Sorge poco sotto la vetta della Magnola, presso l'arrivo delle sciovie",M. Freddo della Magnolla,42.136212,13.47996
8,10/10/2022,923400502,wilderness-hut,Rifugio Iaccio Grande - 1708 m,rifugi@caipescara.it,+39 08554821,,12,Sorge in posizione remota sull'Altopiano che unisce il Colle Affogato al Monte Morrone,Iaccio Grande ,42.13433,13.9376
9,10/10/2022,923400402,wilderness-hut,Rifugio Montagna Grande - 1806 m,sezione@caisulmona.it,,www.caisulmona.it,8,Sorge su un prato ai piedi del M. Argatone,Monte Argatone,41.913,13.82
10,10/10/2022,923400102,alpine-hut,Rifugio Pomilio - 1892 m,,+39 0871447830,,24,Sorge sulla cresta sommità della Majelletta ,Maieletta,42.160794,14.132602
