id,last_modified,code,name,description,poi_type,lat,lon,address_complete,related_url,contact_email,contact_phone
100,10/3/2023,,"Forca Canapine, inizio percorso E1 Lazio Nord",Incrocio tra SP477 (PG) e SP64 (AP),crossroads,42.74875,13.19879,SP477 Umbria/SP64 Marche  Arquata del Tronto 63096 Ascoli Piceno ,,,
101,10/3/2023,,Forca dei Pantani,Punto panoramico Pantani di Accumoli,"natural-saddle,viewpoint",42.73195,13.18935,  Accumoli 02011 Rieti ,,,
102,10/3/2023,,Forca dei Copelli,"Bivio a destra Terracino, a sinistra Accumoli","crossroads,viewpoint,natural-saddle",42.72289,13.19177,  Accumoli 02011 Rieti ,,,
103,10/3/2023,,Fonte Copelli,Fontanile con casetta e punto sosta,fountain,42.71934,13.19286,  Accumoli 02011 Rieti ,,,
104,10/3/2023,,Agriturismo Alta Montagna Bio,"Agriturismo Alloggio, bungalow per campeggio","b-and-b,camping",42.70330,13.23248,Madonna delle Coste 2 Accumoli  02011 Rieti ,https://www.altamontagnabio.it,,+39 3475133299
105,10/3/2023,,Chiesa della Madonna delle Coste,Chiesetta transennata per sisma,religion,42.70242,13.23400,  Accumoli  02011 Rieti ,,,
106,10/3/2023,,Agricamper Il Casale,Area di sosta Camper di Accumoli,camping,42.70106,13.23925,  Accumoli 02011 Rieti ,,,+39 3477139451
107,10/3/2023,,Accumoli,"Borgo dei Monti della Laga, SAE",village,42.69864,13.24280,  Accumoli 02012 Rieti ,,,
108,10/3/2023,,Forca di Presta,Inizio percorso E1variante nelle Marche,"natural-saddle,viewpoint",42.79015,13.26039,  Arquata del Tronto 63096 Ascoli Piceno ,,,
109,10/3/2023,,Fonte Cappella,Fonte ,fountain,42.79035,13.27026,  Arquata del Tronto 63096 Ascoli Piceno ,,,
110,10/3/2023,,Fonte delle Sicinere,Fonte nel bosco,fountain,42.80678,13.28767,  Arquata del Tronto 63096 Ascoli Piceno ,,,
111,10/3/2023,,Pretare,Borgo dei Monti della Laga,paese,42.79818,13.30096,  Arquata del Tronto 63096 Ascoli Piceno ,,,
112,10/3/2023,,"Pretare, Rifugio degli Alpini","Ristorante, Bar","ristorante,bar",42.79639,13.29978,Strada Provinciale 89 72 Arquata del Tronto 63096 Ascoli Piceno ,,,+39 3470875331
113,10/3/2023,,Ristorante da Cavallo di Ferrara C.,"Ristorante, Bar","ristorante,bar",42.79680,13.30167,Via Subappennina 129 Arquata del Tronto 63096 Ascoli Piceno ,,,+39 0736804689
114,10/3/2023,,Piedilama,Borgo dei Monti della Laga,paese,42.78977,13.30092,SP 89  Arquata del Tronto 63096 Ascoli Piceno ,,,
115,10/3/2023,,Chiesa della Madonna della Pace,Chiesa di Piedilama,religion,42.79005,13.30103,SP 89  Arquata del Tronto 63096 Ascoli Piceno Piedilama,,,
116,10/3/2023,,Arquata del Tronto,Borgo dei Monti della Laga,paese,42.77461,13.29642,Via Bucciarelli  Arquata del Tronto 63096 Ascoli Piceno ,,,
117,10/3/2023,,Bar Ciccio,Bar,bar,42.77425,13.29838,  Arquata del Tronto 63096 Ascoli Piceno ,,,+39 3333269594
118,10/3/2023,,Azienda vinicola,Azienda,"shop-farm,winery-and-wine-tasting",42.77501,13.29983,Via Bucciarelli 15 Arquata del Tronto 63096 Ascoli Piceno ,,,
119,10/3/2023,,Free Camp,Campeggio libero,camping,42.77512,13.29920,  Arquata del Tronto 63096 Ascoli Piceno ,,,
120,10/3/2023,,Centro Polivalente Agorà,Alloggio,locanda,42.77703,13.29513,SP 89  Arquata del Tronto 63096 Ascoli Piceno ,,,+39 3493704083
121,10/3/2023,,Comune di Arquata del Tronto,Sede Comunale Arquata del Tronto,amenity-townhall,42.77761,13.29416,  Arquata del Tronto 63096 Ascoli Piceno ,https://www.comune.arquatadeltronto.ap.it/,,+39 0736809122
122,10/3/2023,,Camartina,Borgo dei Monti della Laga,paese,42.77653,13.28937,  Arquata del Tronto 63096 Ascoli Piceno ,,,
123,10/3/2023,,Hotel Camartina,Hotel Camartina,hotel,42.77655,13.28929,  Arquata del Tronto 63096 Ascoli Piceno ,,,
124,10/3/2023,,Pescara del Tronto,Borgo dei Monti della Laga,paese,42.75059,13.27030,  Arquata del Tronto 63096 Ascoli Piceno ,,,
125,10/3/2023,,Tufo,Borgo dei Monti della Laga,paese,42.73536,13.25238,  Arquata del Tronto 63096 Ascoli Piceno ,,,
126,10/3/2023,,Chiesa della Santissima Annunziata a Tufo,Chiesa,religion,42.73536,13.25238,  Arquata del Tronto 63096 Ascoli Piceno ,,,
127,10/3/2023,,Fonte Martina,Fonte,fountain,42.72496,13.23574,  Accumoli 02011 Rieti ,,,
128,10/3/2023,,Fonte Crocetta,Fonte,fountain,42.70863,13.22606,  Accumoli 2011 Rieti ,,,
129,10/3/2023,,Fonte Cupo,Fonte,fountain,42.70508,13.23208,  Accumoli 02011 Rieti ,,,
130,10/3/2023,,Agriturismo Le Mole 2,"Alloggio e bungalow, laghetto pesca sportiva","locanda,b-and-b",42.69271,13.24419,  Libertino di Accumoli 02011 Rieti Libertino di Accumoli,,,+39 3497763230
131,10/3/2023,,Libertino,Borgo dei Monti della Laga,paese,42.69266,13.25180,  Libertino 02011 Rieti Libertino,,,
132,10/3/2023,,Poggio Casoli,Borgo dei Monti della Laga,paese,42.69271,13.24419,  Poggio Casoli 02011 Rieti ,,,
133,10/3/2023,,San Tommaso,Borgo dei Monti della Laga,paese,42.68208,13.28520,  San Tommaso 02011 Rieti ,,,
134,10/3/2023,,Collalto,Borgo dei Monti della Laga,paese,42.67653,13.28730,  Amatrice 02011 Rieti ,,,
135,10/3/2023,,Casale,Borgo dei Monti della Laga,paese,42.66921,13.28517,  Amatrice 02011 Rieti ,,,
136,10/3/2023,,San Lorenzo a Flaviano,Borgo dei Monti della Laga,paese,42.66514,13.28696,  Amatrice 02011 Rieti ,,,
137,10/3/2023,,Rocchetta,Borgo dei Monti della Laga,paese,42.65671,13.28750,  Amatrice 02011 Rieti ,,,
138,10/3/2023,,Madonna di Filetta,Santuario della Madonna di Filetta,religion,42.65199,13.27657,  Amatrice 02011 Rieti ,,,
139,10/3/2023,,Cornillo Vecchio,Borgo dei Monti della Laga,paese,42.64961,13.25281,  Amatrice 02011 Rieti ,,,
140,10/3/2023,,La Rinascita ,Ristorante Pizzeria B&B,"b-and-b,ristorante",42.63105,13.29159,Ponte Sommati 10 Amatrice 02012 Rieti ,https://amatricelarinascita.it,,+39 0746825229
141,10/3/2023,,Caseificio storico di Amatrice,Caseificio,shop-farm,42.63079,13.29259,Ponte Sommati  Amatrice 02012 Rieti ,,,
142,10/3/2023,,"Hotel Ristorante ""Il Castagneto""",Hotel Ristorante,"hotel,ristorante",42.62765,13.29409,Via del Castagneto 35 Amatrice 02012 Rieti ,https://hotelilcastagneto.com,,+39 0746825722
143,10/3/2023,,Amatrice,Borgo dei Monti della Laga,paese,42.62790,13.29291,  Amatrice 02012 Rieti ,,,
144,10/3/2023,,Casa della Montagna Sezione CAI di Amatrice,Alloggio (12 posti letto a castello),locanda,42.62717,13.29058,Viale Saturnino Muzii  Amatrice 02012 Rieti ,http://www.caiamatrice.it/tag/casa-della-montagna/,,
145,10/3/2023,,Amatrice Bar Rinascimento,Ristorante Bar,ristorante,42.62790,13.29291,Viale Padre Giovanni Minozzi 2 Amatrice 02012 Rieti ,,,+39 3332730445
146,10/3/2023,,Sede del Comune di Amatrice,Comune di Amatrice sostitutivo sisma,amenity-townhall,42.62624,13.29213,Viale Saturnino Muzii  Amatrice 02012 Rieti ,,,+39 074683081
