id,last_modified,code,poy_type,name,description,address_complete,lat,lon,capacity,contact_phone,contact_email,related_url
1-3,24/11/2022,1-3,"alpine-hut,restaurant",Rifugio Ca' Silvestro,rifugio ben attrezzato con camere e ristorante,"Via Giardini, 2/a, 41022, Fiumalbo MO",44.18633750111002,10.644349501749263,25,+39 338 6717221,rifugiocasilvestro@gmail.com ,http://www.parchiemiliacentrale.it/parco.frignano/centri-visita-dettaglio.php?id=300
1-1,24/11/2022,1-1,religion,Chiesa di San Bartolomeo,Chiesa del patrono della Via e di Fiumalbo,"Piazza Umberto Primo, 41022, Fiumalbo MO",44.1798246598111,10.64761325187001,,+39 0536 73278,,https://www.Chiesamodenanonantola.it/wd-annuario-enti/parrocchia-s-bartolomeo-apostolo-fiumalbo-306/
1-4,24/11/2022,1-4,"hotel,restaurant",Hotel Appennino,ospitalità commerciale,"Piazza Iolanda , 21, 41022, Fiumalbo MO",44.17912328171558,10.647279620122625,,"+39 0536 73124,+39 329 2342757",info@hotelappennino.com  ,www.hotelappennino.com
1-2,24/11/2022,1-2,"hotel,restaurant",Albergo Il Laghetto,ospitalità commerciale  + trasporto persone/zaino,"Via Versurone, 205, 41022, Fiumalbo MO",44.177150736852134,10.651411303260577,70," + 39 0536 73108,+39 335 6167673",info@hotelillaghetto.it,www.hotelillaghetto.it 
1-6,24/11/2022,1-6,b-and-b,Abetone b & b,ospitalità,"Via Brennero, 249, 51021, Abetone, Abetone Cutigliano PT",44.1432065850961,10.66586742543635,,"+39 392 510 7443,+39  348 7808465 ",,https://bbAbetone.business.site/
1-7,24/11/2022,1-7,"hotel,restaurant",Hotel Primula,ospitalità,"Via Brennero, 195, 51021, Abetone, Abetone Cutigliano PT",44.140248924914324,10.67108156933612,40,+39  0573 60108,albergoprimula@Abetone.com,https://www.hotelprimula.com/
1-8,24/11/2022,1-8,"b-and-b,camping",Bucaneve Camping e B&B,ospitalità,"Via Secchia e del Bicchiere, 103, 51021, Abetone, Abetone Cutigliano PT",44.139396723801504,10.695807064124411,,"+39 0573 607001,+39 333 8341034,+39 339 6049593",campingbucaneve@tiscali.it,www.campingbucaneve.com   
1-9,24/11/2022,1-9,"b-and-b,restaurant",Lo Scoiattolo,ospitalità,"Via degli Scoiattoli, 102, 51021, Rivoreta, Abetone Cutigliano PT",44.1307784772069,10.71922787684117,,+39 0573 629268,,http://rivoreta-52.laazienda.it/agriturismo-lo-scoiattolo.html/
1-11,24/11/2022,1-11,"hotel,restaurant",Hotel Miramonte,ospitalità,"Piazza Catilina, 12, 51021, Cutigliano, Abetone Cutigliano PT",44.1009539106919,10.754283457672267,,+39 0573 68012,hotelmiramonte@hotelmiramonte.it,www.hotelmiramonte.it
1-12,24/11/2022,1-12,"hotel,restaurant",Hotel La Valle ,ospitalità,"Via Carega, 10, 51021, Cutigliano, Abetone Cutigliano PT",44.10047967113995,10.754278684624632,,+39 0573 68035,info@hotellavalle.it,http://www.hotellavalle.it/
1-14,24/11/2022,1-14,"history-and-culture,amenity-townhall",Palazzo dei Capitani,Municipio ,"Piazza Umberto Primo, 3, 51021, Cutigliano, Abetone Cutigliano PT",44.10010808829817,10.755713169280074,,+39 0573 68881,,
1-13,24/11/2022,1-13,"religion,ostello",Chiesa di San Bartolomeo,Chiesa patrono Via e Cutigliano - ospitalità donativo,"Via della Libertà, 51021, Cutigliano, Abetone Cutigliano PT",44.098815454839446,10.756596113229403,6,+ 39 0573 68022,,
1-5,24/11/2022,1-5,viewpoint,Panorama Monte Cimone e Fiumalbo,panorama,"41022, Fiumalbo MO",44.08588,10.38060,,,,
1-10,24/11/2022,1-10,viewpoint,panorama Libro Aperto,panorama,"51021, Borello, Abetone Cutigliano PT",44.06454,10.44927,,,,
2-17,24/11/2022,2-17,village,San Marcello Pistoiese,località turistica,"Via Roma, 51028, San Marcello Pistoiese, San Marcello Piteglio PT",44.05726421596896,10.793539096708436,,+39 0573 991532,montagna@obiettivopistoia.it,https://tuscanymountain.it/
2-22,24/11/2022,2-22,"museum,history-and-culture",Ecomuseo della Montagna Pistoiese Gavinana,"Archivio sonoro tradizioni orali, museo dell'emigrazione","Piazza Achilli, 7, 51028, Gavinana, San Marcello Piteglio PT",44.0565307913102,10.820973712365186,,+39 800974102,ecomuseopt@gmail.com,http://www.ecomuseopt.it/itinerari/palazzo-achilli/
2-26,24/11/2022,2-26,hotel,Hotel Giardini Villa Ada,ospitalità,"Porta Apiciana, 281, 51028, Gavinana, San Marcello Piteglio PT",44.0553103999699,10.823992598114772,,+39 0573 62232,info@hotelgiardini.it,
2-25,24/11/2022,2-25,hotel,Albergo Il Poggiolo,ospitalità,"Via del Poggiolo, 52, 51030, San Marcello Pistoiese                  , San Marcello Piteglio PT",44.05511620002054,10.790408840442492,,+39  0573 630153,albergoilpoggiolo@gmail.com ,www.albergoilpoggiolo.it
2-18,24/11/2022,2-18,village,Gavinana,"località storica, battaglia Francesco Ferrucci","51028, Gavinana, San Marcello Piteglio PT",44.054126901359005,10.822364214079203,,,,
2-20,24/11/2022,2-20,village,Maresca,"località turistica, cippo a ricordo segnaVia CAI",,44.051687867306185,10.849617468247622,,,,
2-16,24/11/2022,2-16,"viewpoint,history-and-culture",Ciotolato Sambuca,tratto su basolato medievale,,44.04380,10.46898,,,,
2-19,24/11/2022,2-19,"viewpoint,history-and-culture",Ciotolato Sambuca,tratto su basolato medievale,,44.04380,10.46898,,,,
2-23,24/11/2022,2-23,"museum,history-and-culture",Ecomuseo della Montagna Pistoiese Pontepetri,Sentiero del ferro,"Via Morelli Gualtierotti, 30A, 51029, Pontepetri, San Marcello Piteglio PT",44.039082361505855,10.882875524181943,,+39 800 974102,ecomuseopt@gmail.com,http://www.ecomuseopt.it/
