id,last_modified,code,name,address_complete,contact_phone,contact_email,related_url,capacity,description,poi_type,lat,lon
1,01/09/2022,,Tonni Teresa,"4 Piazza Don Pietro Boifava, Serle, BS 25080",,,,,Alimentari,shop-convenience,45.56149827222984,10.368522019736856
2,01/09/2022,,Rosso Farfalla di Zanetti Luisa,"Via Roma, 38, 25080 Serle BS",,,,,Casalinghi,shop-houseware,45.56259121723594,10.36994627280919
3,01/09/2022,,Aliment Group SRL,"Via Lazzaretto, 4, 25080 Serle BS",,,,,Alimentari,shop-convenience,45.56631683563879,10.369616361141853
4,01/09/2022,,Macelleria Paiot Dei F.Lli Ancolli Ido & Bortolo (S.N.C.),"Via Marconi, 36, 25080 Serle BS",,,,,"Macelleria,Alimentari","shop-butcher,shop-convenience",45.566530900911744,10.369079919380598
5,01/09/2022,,La Fragranza del Pane ,"Via Primo Maggio, 27, 25080 Serle BS",,,,,Forneria,shop-bakery,45.57032760832063,10.367905111529915
6,01/09/2022,,Boifava Palma Tabaccheria,"Via Primo Maggio, 28, 25080 Serle BS",,,,,Minimarket,shop-convenience,45.570379889899165,10.369024068814063
7,01/09/2022,,Limus Chiocciole,"Via Caderusso, 20, 25085 Gavardo BS",,,,,Allevamento e Vendita Lumache,shop-farm,45.603945502924994,10.419561266740544
8,01/09/2022,,Alimentari Fabio di Prandini Fabio,"Via G. Marconi, 54, 25080 Porle BS",,,,,Minimarket ,shop-convenience ,45.606906975178624,10.380452455854309
9,01/09/2022,,La Bottega di Guido Zerneri,"Via Panoramica, 25083 Val di Sur-San Michele BS",,,,,Alimentari,shop-convenience,45.635145969701554,10.550058557531498
10,01/09/2022,,Alberti Franca,"Via Roma, 5, 25071 Agnosine BS",,,,,,,45.64951457884245,10.351637262011433
11,01/09/2022,,shop-bakery - Facchetti Il Forno,"Via Guglielmo Marconi, 10c, 25071 Agnosine BS",,,,,Forneria,shop-bakery,45.649577043273446,10.352519834040717
12,01/09/2022,,Macelleria Pace Giuseppe,Via Fontana Trebbio 1 - 25071 Agnosine (BS),,,,,Macelleria,shop-butcher,45.650527652282946,10.35088502774265
13,01/09/2022,,Ferremi Giovanni,"Via Fontana Trebbio, 33, 25071 Agnosine BS",,,,,Forneria,shop-bakery,45.65093205068052,10.350993531900563
14,01/09/2022,,Ferremi Alberto,"Via Fontana Trebbio, 22, 25071 Agnosine BS",,,,,Orto Frutta,shop-greengrocer,45.65117204236134,10.351465600648535
15,01/09/2022,,Alimentari Merceria di Ricchini Giacomo,"Via Castello, 3, 25070 San Faustino BS",,,,,Bottega Alimentari,shop-convenience,45.66546042457634,10.34508879765296
16,01/09/2022,,Copetz cafè - Bar Tabacchi shop-kiosk,"Via Don Giuseppe Bazzoli, 10, 25070 Bione BS",,,,,Bar,amenity-bar,45.67132133752195,10.341763640118327
