id,last_modified,name,lon,lat
1,30/03/2023,Cave di Marmo Rosso di Caldana,10.9185814,42.89392355
2,30/03/2023,Teatro delle Rocce,10.90159374,42.91956911
3,30/03/2023,Ponte multiarco ferrovia Siena-Grosseto,11.15028617,42.95699729
4,30/03/2023,Mulino delle Conce,11.03683675,43.02670632
5,30/03/2023,Laghetto del Troscione,10.95659135,43.04382682
6,30/03/2023,Torrente Carsia - sgorgo acqua di miniera,10.97002055,43.04525478
7,30/03/2023,Il Poggione,10.98155535,43.10274412
8,30/03/2023,Castello di Cugnano,10.89358539,43.12314406
9,30/03/2023,Rocchette Pannochieschi,10.89162845,43.10989303
10,30/03/2023,Tana del Frate,10.95546553,43.04268606
11,30/03/2023,Lago dell'Accesa,10.89855043,42.9888887
12,30/03/2023,Sede del Parco delle Colline Metallifere - Museo GeoMet,10.90586978,42.92086732
13,30/03/2023,Rocca Pisana,10.85324532,42.90673737
14,30/03/2023,MAPS,10.79054417,42.89045365
15,30/03/2023,Caldana,10.92754997,42.89623272
16,30/03/2023,Castello di Montemassi,11.06422328,42.99112935
17,30/03/2023,Castel di Pietra,10.97994032,42.95926776
18,30/03/2023,Fonti di Bufalona,10.89364925,43.0567742
19,30/03/2023,Canonica di San Niccolò a Montieri,11.00598686,43.13172241
20,30/03/2023,Convento di Monte Muro,10.83668687,42.88302319
21,30/03/2023,Villaggio minerario Capanne,10.91117828,43.01690436
22,30/03/2023,Campo minerario di Pozzoia,10.89752787,43.01140456
23,30/03/2023,Area archeologica La Pesta,10.90119356,42.98776894
24,30/03/2023,Cava di Gavorrano,10.89629988,42.92246019
25,30/03/2023,Fonte del Canalino,10.85800813,42.9071437
26,30/03/2023,Padule di Scarlino,10.79262095,42.89467636
27,30/03/2023,Pineta e duna costiera,10.77585872,42.90709943
28,30/03/2023,MAGMA,10.76212268,42.92267688
29,30/03/2023,Poggio di Montieri,11.00384066,43.12627179
30,30/03/2023,Cripta di Giugnano e resti Aula gotica,11.12592815,42.98547242
31,30/03/2023,Cappella di San Feriolo,11.09646289,42.99371172
32,30/03/2023,Rocca di Montemassi - museo della civiltà contadina,11.05685178,42.95081998
33,30/03/2023,Centro storico Sticciano,11.14272258,42.92363134
34,30/03/2023,Fattoria Lattaia,11.10792981,42.9626364
35,30/03/2023,Villa Tolomei,11.11613713,42.91643969
36,30/03/2023,Fattoria di Pietra,10.99489586,42.95595889
37,30/03/2023,Cava della Bartolina,11.02449006,42.94563021
38,30/03/2023,Diga dei Muracci,11.02353191,42.94958465
39,30/03/2023,Parco Naturalistico Geotermico delle Biancane,10.8552968,43.15418719
40,30/03/2023,Le Fumarole,10.85850088,43.16761739
41,30/03/2023,Bandite di Scarlino,10.83520639,42.87225579
42,30/03/2023,Monte Arsenti,10.87667265,43.07759484
43,30/03/2023,"Parco comunale ""Il Piano""",11.01061661,43.13008501
44,30/03/2023,Riserva naturale Cornate e Fosini,10.97032773,43.15059715
45,30/03/2023,Fiume Merse,11.04294998,43.1082666
46,30/03/2023,Area Archeologica di Poggio Tondo,10.84733946,42.85925659
