id,last_modified,code,lat,lon,poi_type,name
1,6-12-2022,1,43.91999293,10.37472567,installation,1
2,6-12-2022,2,43.92020407,10.37473272,installation,2
3,6-12-2022,3,43.91988105,10.37452096,viewpoint,P1
12,6-12-2022,12,43.92046018,10.37215427,viewpoint,P4
20,6-12-2022,20,43.92044321,10.37306613,viewpoint,P2
21,6-12-2022,21,43.92044601,10.37273892,viewpoint,P3
4,6-12-2022,4,43.91990841,10.37425236,installation,3
5,6-12-2022,5,43.91983271,10.37425757,installation,4
6,6-12-2022,6,43.92086185,10.37484015,installation,5
7,6-12-2022,7,43.92026734,10.37389599,installation,6
8,6-12-2022,8,43.92044551,10.37354086,installation,7
9,6-12-2022,9,43.92050514,10.37310445,installation,8
10,6-12-2022,10,43.92035209,10.37255935,installation,9
11,6-12-2022,11,43.92044677,10.37244791,installation,10
13,6-12-2022,13,43.92027362,10.37195465,installation,15
14,6-12-2022,14,43.9201299,10.37200109,installation,13
15,6-12-2022,15,43.92024694,10.37169401,installation,16
16,6-12-2022,16,43.92028235,10.37132462,installation,18
17,6-12-2022,17,43.92031461,10.3712166,installation,19
19,6-12-2022,19,43.9206295,10.37116997,installation,17
22,6-12-2022,22,43.92024492,10.37242451,installation,11
23,6-12-2022,23,43.92023268,10.37225395,installation,12
24,6-12-2022,24,43.9201953,10.37179554,installation,14
