id,last_modified,name,lat,lon,poi_type
001,06/11/2023,Passo del Giogo,11.3886035,44.0471267,natural-saddle
002,06/11/2023,Passo della Sambuca,11.4863689,44.0726299,natural-saddle
003,06/11/2023,Passo della Colla,11.484178,44.0386386,natural-saddle
004,06/11/2023,Passo della Collina,10.9319705,44.0283702,natural-saddle
005,06/11/2023,Passo dell'Abetone,10.664949,44.1458436,natural-saddle
006,06/11/2023,Passo della Futa,11.2764133,44.0940503,natural-saddle
007,06/11/2023,Passo della Consuma,11.6018252,43.782987,natural-saddle
008,06/11/2023,Passo della Raticosa,11.3378035,44.172645,natural-saddle
009,06/11/2023,Passo del Muraglione,11.6543329,43.933316,natural-saddle
010,06/11/2023,Passo dell'Eremo,11.6407856,44.0303252,natural-saddle
011,06/11/2023,Passo Peschiera,11.6562311,44.0173646,natural-saddle
012,06/11/2023,valico del Paretaio,11.5008401,44.1435793,natural-saddle
013,06/11/2023,Passo Carnevale,11.5784907,44.0950722,natural-saddle
014,06/11/2023,Passo delle 100 forche,11.8545397,44.0434935,natural-saddle
015,06/11/2023,Valico tre Faggi,11.6780783,43.9278225,natural-saddle
016,06/11/2023,Valico Croce ai Mori,11.6360907,43.8505231,natural-saddle
017,06/11/2023,Passo della Calla,11.7445382,43.8596243,natural-saddle
018,06/11/2023,Passo dell'Oppio,10.8379168,44.0426481,natural-saddle
019,06/11/2023,Passo del Carnaio,11.9563704,43.8972035,natural-saddle
020,06/11/2023,Passo dei Mandrioli,11.9150143,43.7975662,natural-saddle
021,06/11/2023,Bocca Trabaria,12.235592,43.5951577,natural-saddle
022,06/11/2023,Valico dello Spino,11.9615995,43.7012677,natural-saddle
023,06/11/2023,Valico di Viamaggio,12.1163556,43.6824836,natural-saddle
024,06/11/2023,"Passo Valbura
",11.7633135,43.99338,natural-saddle
025,06/11/2023,Valico Monte Fumaiolo,12.0725071,43.7900559,natural-saddle
026,06/11/2023,Passo del Bocco,9.4434893,44.4153675,natural-saddle
027,06/11/2023,Passo dello Stelvio,10.4532499,46.5288214,natural-saddle
028,06/11/2023,"Passo Manghen
",11.4392321,46.175389,natural-saddle
029,06/11/2023,Passo del Bracco,9.5677211,44.2498932,natural-saddle
030,06/11/2023,Passo Centocroci,9.6234075,44.4214776,natural-saddle
031,06/11/2023,Passo della Cisa,9.9315361,44.4726243,natural-saddle
032,06/11/2023,Passo del Cerreto,10.2170656,44.3043047,natural-saddle
033,06/11/2023,Valico Montecoronaro,12.0250749,43.7865642,natural-saddle
034,06/11/2023,Passo delle Radici,10.4887508,44.209288,natural-saddle
035,06/11/2023,Passo del Tomarlo,9.5008336,44.5358905,natural-saddle
036,06/11/2023,Passo Pradarena,10.3005974,44.2855623,natural-saddle
037,06/11/2023,Passo Brasa,10.9957388,44.2738282,natural-saddle
038,06/11/2023,"Passo del Sugame
",11.3639714,43.5982224,natural-saddle
039,06/11/2023,Bocca dei Ravari,11.0147969,44.3005261,natural-saddle
040,06/11/2023,La Crocina (Setteponti-Talla),11.7380416,43.5735712,natural-saddle
041,06/11/2023,"Passo del Vestito
",10.2248525,44.0656059,natural-saddle
042,06/11/2023,"valico dell'olmo
",11.3398662,43.8632704,natural-saddle
043,06/11/2023,"Passo della Mola
",9.5756949,44.279021,natural-saddle
044,06/11/2023,Valico Bocca Serriola,12.3569768294692,43.5155791067727,natural-saddle
045,06/11/2023,Cento Croci,10.6200446560979,44.2604618222076,natural-saddle
046,06/11/2023,VALICO DI SCHEGGIA,12.6590958,43.4111995,natural-saddle
047,06/11/2023,valico monte Beccuggiano,11.6994758695364,44.1030564860036,natural-saddle
048,06/11/2023,Passo del Faiallo,8.6674331,44.4618956,natural-saddle
049,06/11/2023,"Forca di Cerro
",12.8011168,42.7520413,natural-saddle
050,06/11/2023,Passo del Prugno,11.5946534648538,44.2350976796005,natural-saddle
051,06/11/2023,"La Foce
",11.9517667,43.3677532,natural-saddle
052,06/11/2023,Passo del Turchino,8.7348604,44.4853728,natural-saddle
053,06/11/2023,Col de la Lombarde,7.15008359402418,44.2025660568001,natural-saddle
054,06/11/2023,Colle del Melogno,8.1968805,44.2303029,natural-saddle
055,06/11/2023,Colle San Bernardo,8.0809707,44.1558556,natural-saddle
056,06/11/2023,Colle del Quazzo,8.0713206,44.2118799,natural-saddle
057,06/11/2023,Colle di Caprauna,7.9297653,44.1082254,natural-saddle
058,06/11/2023,Madonna del Colletto,7.372683,44.2835735,natural-saddle
059,06/11/2023,Col de Larche,6.898468,44.4217434,natural-saddle
060,06/11/2023,Passo di Gavia,10.4846264,46.3434911,natural-saddle
061,06/11/2023,Monte Vrsic - Passo della Moistrocca,13.7430709,46.432897,natural-saddle
062,06/11/2023,Passo del Predil,13.5803292,46.419004,natural-saddle
063,06/11/2023,"Forca di Gualdo
",13.1902144,42.8589188,natural-saddle
064,06/11/2023,Passo di Pramollo,13.2756407,46.559873,natural-saddle
