id,last_modified,lon,lat,name,description,poi_type
001,12/10/2023,14.827474,37.1364347,"ss124 palazzolo Acreide- Vizzini
",veloce e ben tenuta. una vera cavalcata sui monti Iblei               0001,roads-to-drive
002,12/10/2023,13.8899973,41.8829598,"sr 479 Sannite
",da Villetta Barrea a Sulmona attraverso il lago di Scanno                  vedi com'è su https://www.facebook.com/carlokiddonannini/videos/578120877046156/?idorvanity=745577899720215,roads-to-drive
003,12/10/2023,14.7791009,37.8271488,"ss 120 Termini Imerese-Randazzo 1
",0001,roads-to-drive
004,12/10/2023,8.5038341,44.3833159,SP 334,Strada alternativa per giungere al mare dal Piemonte e viceversa. Ottimo guidato con alcuni tornanti e tratti di misto che sono davvero godibili. Attenzione all'asfalto non sempre perfetto e al traffico. by Claudio Garombo,roads-to-drive
005,12/10/2023,14.0080799,41.7380852,"ss 83 Marsicana
",da Alfedena a Avezzano. passando dallo splendido scenario del lago di Barrea e il parco Nazionale d'Abruzzo. Spettacolare!         0001,roads-to-drive
006,12/10/2023,13.1364593,42.9290828,"Ussita- Frontignano
",veramente bella e ampia. scorrevole e poco trafficata        Kiddo   ,roads-to-drive
007,12/10/2023,12.7971009,42.6319878,"sp 209 Valnerina
",fin troppo scorrevole. ma una vera via di collegamento fra Terni e i Sibillini           0001,roads-to-drive
008,12/10/2023,13.2031927,42.7537793,"sp 64 Forca Canapine
",da Arquata del Tronto fino a Norcia allacciando la sp 477. Una libidine da guidare bellissima e velocissima. degna delle Dolomiti                   0001,roads-to-drive
009,12/10/2023,13.0659697,42.9275443,"sp 209 della Valnerina
",celeberrima. larga e veloce. Anche troppo. un must               0001,roads-to-drive
010,12/10/2023,12.0598967,43.8242899,"sp 43 s.Piero-Alfero-Balze
",da s.Piero in Bagno alle balze. passando da Alfero e il Fumaiolo. dove si dice che nasca il Tevere. anche se in realtà non ha una sorgente unica. Bellissima. veloce. lunga e molto varia. Molto traffico in genere intorno al Fumaiolo. dove non è difficile trovare la neve anche a primavera.             001,roads-to-drive
011,12/10/2023,11.6523991,43.0872195,"SP 146 s.Quirico-Chianciano
",le splendide colline della Val d'Orcia in una strada.                001,roads-to-drive
012,12/10/2023,11.1843806,44.0678045,"SP 21 Montepiano-Mangona
",montepiano-Barberino passando da Mangona. carina e stretta ma un ottimo collegamento       Kiddo,roads-to-drive
013,12/10/2023,11.4044708,43.5213255,"Dudda-Lucolena-Radda
",uno delle strade più belle del Chianti                         001,roads-to-drive
014,12/10/2023,11.2463525,44.2737968,"sp 38 Monzuno-Rioveggio
",Molto bella e divertente. asfalto rifatto 2022           kiddo             vedi com'è su https://www.facebook.com/carlokiddonannini/videos/1124735211795112/?idorvanity=745577899720215,roads-to-drive
015,12/10/2023,6.8305647,44.4587121,D900,Strada fantastica con curve. tornanti e misto. Ammirabili da qui molte fortificazioni della Linea Maginot. Attenzione a eventuali sassi in strada nella parte con la roccia a strapiombo. by Claudio Garombo,roads-to-drive
