id,last_modified,lon,lat,name,poi_type
001,13/10/2023,12.7211428,43.6502136,"panoramica del Furlo
",dirt-roads
002,13/10/2023,12.7010303,43.0324826,"strada Monte Subasio
",dirt-roads
003,13/10/2023,12.979711,43.011915,Montecavallo,dirt-roads
004,13/10/2023,8.5814924,44.3820183,strada per beato jacopo,dirt-roads
005,13/10/2023,11.3548328,43.4246713,"sp 102 Radda-Vagliagli
",dirt-roads
006,13/10/2023,11.1503076,42.3744083,"panoramica Argentario
",dirt-roads
007,13/10/2023,11.8588725,43.8053225,"passo dei Fangacci
",dirt-roads
008,13/10/2023,11.5780665,43.7239422,Secchieta,dirt-roads
009,13/10/2023,11.752046495676,43.0742417175481,Monticchiello-Montepulciano,dirt-roads
010,13/10/2023,11.4476723,43.9963065,"panoramica Mugello
",dirt-roads
011,13/10/2023,11.7809441,42.8757465,"Radicofani-Ponte a Rigo
",dirt-roads
012,13/10/2023,12.0217431,42.1829698,"Tolfa-Civitella Cesi
",dirt-roads
013,13/10/2023,10.7778613,44.1323757,Croce Arcana,dirt-roads
014,13/10/2023,11.5588802,43.9500376,"villore-corella
",dirt-roads
015,13/10/2023,8.3486654,44.3136516,roviasca - altare,dirt-roads
016,13/10/2023,11.2387632206082,43.0722576780727,Belagaio. Casal di Pari-Piloni,dirt-roads
017,13/10/2023,11.9300239,43.621392,"Fonte del Baregno
",dirt-roads
018,13/10/2023,8.0845913,44.1765857,Altare Garessio ultimo tratto,dirt-roads
019,13/10/2023,11.1299464,43.1053623,"Luriano
",dirt-roads
020,13/10/2023,13.5905456,42.2159493,"Terranera-Goriano
",dirt-roads
021,13/10/2023,11.4503462612629,44.207797097643,panoramica Piancaldoli,dirt-roads
022,13/10/2023,10.8280258,43.5400166,"castelfalfi-ghizzano
",dirt-roads
023,13/10/2023,11.2210682,43.1917162,"riserva naturale alto merse
",dirt-roads
024,13/10/2023,13.2067083,42.9542651,Fargno,dirt-roads
025,13/10/2023,11.8648454546928,43.8778692516873,Passo del Vinco,dirt-roads
026,13/10/2023,11.1106265,44.0926658,"Alpe di cavarzano
",dirt-roads
027,13/10/2023,11.0662773996592,44.0379678414154,via della Rasa,dirt-roads
028,13/10/2023,10.924745,44.1155893,"Monte Cavallo
",dirt-roads
029,13/10/2023,11.5462285280228,43.2856887854606,monte Sante Marie,dirt-roads
030,13/10/2023,11.6121743246913,43.0338314076551,s.Quirico-Bagno Vignoni,dirt-roads
031,13/10/2023,10.7683952,43.2406318,"Riserva Monterufoli
",dirt-roads
032,13/10/2023,11.8282566,42.9831996,"sp 126 e castiglioncello trinoro
",dirt-roads
033,13/10/2023,12.0799272,43.6673225,"Cerbaiolo
",dirt-roads
034,13/10/2023,11.6976402327418,43.4525518599116,Pergine-Civitella v.Chiana,dirt-roads
035,13/10/2023,11.9756892,43.4686216,Poti,dirt-roads
036,13/10/2023,10.7185424,44.0107513,"Croce a Veglia
",dirt-roads
037,13/10/2023,8.5790972,44.5326772,sp207,dirt-roads
038,13/10/2023,11.9531844,42.5348084,"via della spiaggia Bolsena
",dirt-roads
039,13/10/2023,12.8964371,46.565921,Panoramica delle Vette - Monte Crostis,dirt-roads
040,13/10/2023,10.3768969,45.8631622,SP345 - Passo Maniva,dirt-roads
041,13/10/2023,17.4640287,40.7131462,Strada sterrata La Fogliarella,dirt-roads
042,13/10/2023,12.7199628,43.459999,"Monte Catria
",dirt-roads
043,13/10/2023,8.5398445,39.54156,"Montevecchio-Ingortosu
",dirt-roads
044,13/10/2023,8.5427287,39.4107204,"Pubusino
",dirt-roads
045,13/10/2023,6.7991869,44.3245772,Panoramica di Restefond,dirt-roads
046,13/10/2023,7.0190638,45.0623652,Strada dell'Assietta,dirt-roads
047,13/10/2023,6.6431483,44.4963644,D39T,dirt-roads
048,13/10/2023,6.6615375,44.4833718,D29,dirt-roads
049,13/10/2023,7.7159563,44.0973551,La Via del Sale,dirt-roads
050,13/10/2023,7.7004856,44.0797639,anello via del sale,dirt-roads
051,13/10/2023,6.1120009,45.07814,alternitiva alla route du col,dirt-roads
052,13/10/2023,15.96734,37.9760413,Da Bova a Palizzi,dirt-roads
053,13/10/2023,11.2257335,43.4427919,"Lilliano
",dirt-roads
054,13/10/2023,10.821286,43.4342206,"Montebradoni
",dirt-roads
055,13/10/2023,10.9114941,43.45646,"Cozzano. WP multiplo
",dirt-roads
056,13/10/2023,11.1258724,43.255681,"Cotorniano
",dirt-roads
057,13/10/2023,11.5347944,43.4069419,"San Vincenti, Rosennano, Montebenichi
",dirt-roads
058,13/10/2023,11.4425059,43.0502604,"Buonconvento, castiglion del Bosco, Montalcino
",dirt-roads
059,13/10/2023,11.376275,43.2362674,"malamerenda- Radi- Lupompesi
",dirt-roads
060,13/10/2023,11.6184892,43.115099,"Torrenieri-Lucignano d'asso
",dirt-roads
061,13/10/2023,11.5534769,43.1293184,"Pieve a Salti
",dirt-roads
062,13/10/2023,11.5045818,43.2077015,"Asciano-Monteroni
",dirt-roads
063,13/10/2023,11.082954,43.4762828,Montefalconi,dirt-roads
064,13/10/2023,10.6883487,43.4975671,"Belvedere di Terricciola
",dirt-roads
065,13/10/2023,10.6565356,43.7508202,"Padule di Fucecchio
",dirt-roads
066,13/10/2023,11.0257462,44.0601795,"Badia a Taona-Torri
",dirt-roads
067,13/10/2023,8.8583283,39.1140616,"Monte Arcosu
",dirt-roads
068,13/10/2023,8.4924199,39.5732648,"Monte Arcuentu
",dirt-roads
069,13/10/2023,8.4655064,39.5307113,Portu Maga - Pitzinurri,dirt-roads
070,13/10/2023,9.3499007,39.3906095,BURCEI - VILLASSALTO,dirt-roads
071,13/10/2023,6.8836385,44.920885,"Valle Argentera
",dirt-roads
072,13/10/2023,6.7883084,44.930895,"Sagna Longa - Valle Gimont - Serra Granet
",dirt-roads
073,13/10/2023,8.5604617,39.4003635,"Miniera Arenas
",dirt-roads
074,13/10/2023,11.4626408368349,43.9879332416167,panorama Mugello 2,dirt-roads
075,13/10/2023,10.6137833,44.1017648,"Foce a Giovo - SP56
",dirt-roads
076,13/10/2023,11.4645549,43.4096614,"start off eroica
",dirt-roads
077,13/10/2023,11.40516,43.3317939,"Montechiaro
",dirt-roads
078,13/10/2023,11.3843358,43.1914346,"Campriano
",dirt-roads
079,13/10/2023,11.4331893,43.1527879,"Murlo-Buonconvento
",dirt-roads
080,13/10/2023,11.4029675,43.3713818,Pianella-Pievasciata,dirt-roads
081,13/10/2023,11.4218401,43.4808485,"eroica di vertine
",dirt-roads
082,13/10/2023,13.0815409,43.332778,"Elcito-Pian dell'Elmo-Val di Castro 
",dirt-roads
083,13/10/2023,12.8860708,43.0888463,"Monte Pennino
",dirt-roads
084,13/10/2023,12.8584333,43.0761833,"Colfiorito-Bagnara
",dirt-roads
085,13/10/2023,11.3557346,43.5282151,"Traversa del Chianti
",dirt-roads
086,13/10/2023,8.7188327,40.7475419,"Osilo
",dirt-roads
087,13/10/2023,8.68369493633509,42.4959755208042,Calvi-Galeria,dirt-roads
088,13/10/2023,8.24892,40.8908,"spiaggia Pazzona
",dirt-roads
089,13/10/2023,11.6719077,44.0761317,"Monte cavallara
",dirt-roads
090,13/10/2023,8.2683,40.86242,"stagno di Pilo
",dirt-roads
091,13/10/2023,8.18903,40.81258,"Lampianu
",dirt-roads
092,13/10/2023,8.17643,40.8005,"cala Flumini
",dirt-roads
093,13/10/2023,8.17786,40.79594,"Ponte rio Flumini
",dirt-roads
094,13/10/2023,8.16622,40.76897,"spiaggia la Frana
",dirt-roads
095,13/10/2023,8.25144,40.72784,"Monte Forte
",dirt-roads
096,13/10/2023,8.19582,40.65334,"Porto Ferro-Porticciolo
",dirt-roads
097,13/10/2023,8.24983,40.60375,"Monte Doglia
",dirt-roads
098,13/10/2023,8.42672,40.55828,"scala Mala
",dirt-roads
